,annual_payroll,industry,sex,ethnicity,race,buschar_label,number_of_firms,firmpdemp_f,revenue,number_of_employees
28,0,Total for all sectors,Female,Total,Native Hawaiian and Other Pacific Islander,All firms,0,S,0,0
29,0,Total for all sectors,Female,Total,Native Hawaiian and Other Pacific Islander,Family-owned,0,S,0,0
30,0,Total for all sectors,Female,Total,Native Hawaiian and Other Pacific Islander,Not family-owned,0,S,0,0
31,0,Total for all sectors,Female,Total,Native Hawaiian and Other Pacific Islander,Total reporting,0,S,0,0
32,0,Total for all sectors,Female,Total,Native Hawaiian and Other Pacific Islander,Item not reported,0,S,0,0
33,1610028,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,All firms,4468,,8699273,38491
34,0,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,Family-owned,0,S,0,0
35,0,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,Not family-owned,0,S,0,0
36,0,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,Total reporting,0,S,0,0
37,0,Total for all sectors,Male,Total,Native Hawaiian and Other Pacific Islander,Item not reported,0,S,0,0
38,0,Total for all sectors,Equally male/female,Total,Native Hawaiian and Other Pacific Islander,All firms,0,S,0,0
39,0,Total for all sectors,Equally male/female,Total,Native Hawaiian and Other Pacific Islander,Family-owned,0,S,0,0
40,0,Total for all sectors,Equally male/female,Total,Native Hawaiian and Other Pacific Islander,Total reporting,0,S,0,0
41,0,Total for all sectors,Equally male/female,Total,Native Hawaiian and Other Pacific Islander,Item not reported,0,D,0,0
42,323027545,Total for all sectors,Total,Total,Minority,All firms,1048323,,1481618918,9432081
43,33007585,Total for all sectors,Total,Total,Minority,Family-owned,119243,,166804016,1036966
44,81144907,Total for all sectors,Total,Total,Minority,Not family-owned,337718,,356884956,2341552
45,114152491,Total for all sectors,Total,Total,Minority,Total reporting,456960,,523688972,3378518
46,4915043,Total for all sectors,Total,Total,Minority,Item not reported,22468,,23740957,157480
47,101103299,Total for all sectors,Total,Hispanic,Total,All firms,331625,,455644682,2972140
48,11984970,Total for all sectors,Total,Hispanic,Total,Family-owned,38467,,58862005,376319
49,25922729,Total for all sectors,Total,Hispanic,Total,Not family-owned,108395,,108336368,725457
50,37907699,Total for all sectors,Total,Hispanic,Total,Total reporting,146862,,167198372,1101776
51,1684957,Total for all sectors,Total,Hispanic,Total,Item not reported,9376,,7887763,58184
52,365662325,Total for all sectors,Female,Non-Hispanic,Total,All firms,1054693,,1684078381,9407871
53,45201241,Total for all sectors,Female,Non-Hispanic,Total,Family-owned,114259,,223144216,1157483
54,83658549,Total for all sectors,Female,Non-Hispanic,Total,Not family-owned,413236,,330888645,2362394
55,128859790,Total for all sectors,Female,Non-Hispanic,Total,Total reporting,527494,,554032861,3519877
56,4685146,Total for all sectors,Female,Non-Hispanic,Total,Item not reported,22950,,20565499,138015
57,2062608415,Total for all sectors,Male,Non-Hispanic,Total,All firms,3277302,,10883900452,43241670
58,165790050,Total for all sectors,Male,Non-Hispanic,Total,Family-owned,277140,,1050103063,3838334
59,516513466,Total for all sectors,Male,Non-Hispanic,Total,Not family-owned,1327348,,2397857292,10886193
60,682303516,Total for all sectors,Male,Non-Hispanic,Total,Total reporting,1604489,,3447960355,14724527
61,24591315,Total for all sectors,Male,Non-Hispanic,Total,Item not reported,77901,,121518229,615354
62,261670266,Total for all sectors,Equally male/female,Non-Hispanic,Total,All firms,786216,,1262521175,7357466
63,83305086,Total for all sectors,Equally male/female,Non-Hispanic,Total,Family-owned,341965,,396835699,2556520
64,13126366,Total for all sectors,Equally male/female,Non-Hispanic,Total,Not family-owned,38359,,55234576,343207
65,96431452,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total reporting,380323,,452070275,2899728
66,3083293,Total for all sectors,Equally male/female,Non-Hispanic,Total,Item not reported,15068,,15221126,99636
67,2580104120,Total for all sectors,Total,Total,White,All firms,4769883,,13303162548,56877432
68,288221255,Total for all sectors,Total,Total,White,Family-owned,700460,,1631564203,7356690
69,587686664,Total for all sectors,Total,Total,White,Not family-owned,1665998,,2658912448,12787254
70,875907919,Total for all sectors,Total,Total,White,Total reporting,2366456,,4290476650,20143944
71,30774160,Total for all sectors,Total,Total,White,Item not reported,112425,,148205312,813397
72,2670156,Total for all sectors,Female,Total,American Indian and Alaska Native,All firms,8985,,10177609,71754
73,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Family-owned,0,S,0,0
74,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Not family-owned,0,S,0,0
75,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Total reporting,0,S,0,0
76,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Item not reported,0,S,0,0
77,5347531,Total for all sectors,Male,Total,American Indian and Alaska Native,All firms,14559,,22348339,121618
78,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Family-owned,0,S,0,0
79,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Not family-owned,0,S,0,0
80,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Total reporting,0,S,0,0
81,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Item not reported,0,S,0,0
82,223576,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,All firms,891,,1171556,6884
83,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Family-owned,0,S,0,0
84,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Not family-owned,0,D,0,0
85,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Total reporting,0,S,0,0
86,73731283,Total for all sectors,Female,Total,Minority,All firms,285454,,299313141,2290352
87,8434035,Total for all sectors,Female,Total,Minority,Family-owned,25127,,39550912,237348
88,17649180,Total for all sectors,Female,Total,Minority,Not family-owned,102023,,67947967,569157
89,26083215,Total for all sectors,Female,Total,Minority,Total reporting,127149,,107498879,806505
90,961746,Total for all sectors,Female,Total,Minority,Item not reported,6237,,3686289,37226
91,214642132,Total for all sectors,Male,Total,Minority,All firms,623583,,1024715081,5927278
92,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Item not reported,0,S,0,0
93,175800264,Total for all sectors,Total,Total,Asian,All firms,577835,,863324218,5090065
94,17731220,Total for all sectors,Total,Total,Asian,Family-owned,67946,,95969929,537543
95,45044762,Total for all sectors,Total,Total,Asian,Not family-owned,184556,,213049869,1329461
96,62775982,Total for all sectors,Total,Total,Asian,Total reporting,252501,,309019798,1867004
97,2563349,Total for all sectors,Total,Total,Asian,Item not reported,9511,,13785606,68442
98,2140501692,Total for all sectors,Male,Total,Total,All firms,3496959,,11240035485,45346405
99,171747516,Total for all sectors,Male,Total,Total,Family-owned,293505,,1078194867,4024853
100,540087410,Total for all sectors,Male,Total,Total,Not family-owned,1407359,,2499673398,11485563
101,711834926,Total for all sectors,Male,Total,Total,Total reporting,1700865,,3577868265,15510416
102,25908348,Total for all sectors,Male,Total,Total,Item not reported,84544,,128231286,657293
103,21975675,Total for all sectors,Female,Hispanic,Total,All firms,84496,,91103725,722654
104,3276896,Total for all sectors,Female,Hispanic,Total,Family-owned,8858,,17323956,98388
105,4841732,Total for all sectors,Female,Hispanic,Total,Not family-owned,29389,,17759389,161292
106,8118628,Total for all sectors,Female,Hispanic,Total,Total reporting,38246,,35083346,259680
107,381000,Total for all sectors,Female,Hispanic,Total,Item not reported,2473,,1198132,15265
108,70543436,Total for all sectors,Male,Hispanic,Total,All firms,209426,,325773064,1957790
109,5716921,Total for all sectors,Male,Hispanic,Total,Family-owned,15748,,27198285,181369
110,20380740,Total for all sectors,Male,Hispanic,Total,Not family-owned,75982,,87593629,543741
111,26097660,Total for all sectors,Male,Hispanic,Total,Total reporting,91729,,114791914,725111
112,1222874,Total for all sectors,Male,Hispanic,Total,Item not reported,6282,,6343231,39021
113,8584188,Total for all sectors,Equally male/female,Hispanic,Total,All firms,37700,,38767893,291696
114,2991153,Total for all sectors,Equally male/female,Hispanic,Total,Family-owned,13863,,14339763,96562
115,700257,Total for all sectors,Equally male/female,Hispanic,Total,Not family-owned,3022,,2983349,20424
116,3691410,Total for all sectors,Equally male/female,Hispanic,Total,Total reporting,16886,,17323113,116986
117,81082,Total for all sectors,Equally male/female,Hispanic,Total,Item not reported,622,,346400,3898
118,17395617,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,All firms,49285,,71334623,486636
119,3803069,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,15944,,15032475,119930
120,3890113,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Not family-owned,6520,,16610125,79828
121,7693182,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,22465,,31642600,199758
122,251176,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Item not reported,1048,,932753,9824
123,338223826,Total for all sectors,Female,Total,White,All firms,945514,,1575575539,8631458
124,0,Total for all sectors,Female,Total,White,Family-owned,0,S,0,0
125,0,Total for all sectors,Female,Total,White,Not family-owned,0,S,0,0
126,0,Total for all sectors,Female,Total,White,Total reporting,0,S,0,0
127,0,Total for all sectors,Female,Total,White,Item not reported,0,S,0,0
128,1994720992,Total for all sectors,Male,Total,White,All firms,3087049,,10530941803,41363286
129,0,Total for all sectors,Male,Total,White,Family-owned,0,S,0,0
130,0,Total for all sectors,Male,Total,White,Not family-owned,0,S,0,0
131,0,Total for all sectors,Male,Total,White,Total reporting,0,S,0,0
132,0,Total for all sectors,Male,Total,White,Item not reported,0,S,0,0
133,247159302,Total for all sectors,Equally male/female,Total,White,All firms,737321,,1196645206,6882688
134,0,Total for all sectors,Equally male/female,Total,White,Family-owned,0,S,0,0
135,0,Total for all sectors,Equally male/female,Total,White,Not family-owned,0,S,0,0
136,0,Total for all sectors,Equally male/female,Total,White,Total reporting,0,S,0,0
137,0,Total for all sectors,Equally male/female,Total,White,Item not reported,0,S,0,0
138,36939229,Total for all sectors,Total,Total,Black or African American,All firms,124551,,128012399,1188819
139,2308352,Total for all sectors,Total,Total,Black or African American,Family-owned,10111,,7333604,96433
140,7802807,Total for all sectors,Total,Total,Black or African American,Not family-owned,41070,,27300067,241941
141,10111159,Total for all sectors,Total,Total,Black or African American,Total reporting,51182,,34633671,338374
142,576233,Total for all sectors,Total,Total,Black or African American,Item not reported,3164,,1895031,29698
143,38950283,Total for all sectors,Female,Total,Asian,All firms,154984,,171448705,1128494
144,0,Total for all sectors,Female,Total,Asian,Family-owned,0,S,0,0
145,0,Total for all sectors,Female,Total,Asian,Not family-owned,0,S,0,0
146,0,Total for all sectors,Female,Total,Asian,Total reporting,0,S,0,0
147,0,Total for all sectors,Female,Total,Asian,Item not reported,0,S,0,0
148,115157899,Total for all sectors,Male,Total,Asian,All firms,336622,,586918276,3207600
149,0,Total for all sectors,Male,Total,Asian,Family-owned,0,S,0,0
150,0,Total for all sectors,Male,Total,Asian,Not family-owned,0,S,0,0
151,0,Total for all sectors,Male,Total,Asian,Total reporting,0,S,0,0
152,0,Total for all sectors,Male,Total,Asian,Item not reported,0,S,0,0
153,21692082,Total for all sectors,Equally male/female,Total,Asian,All firms,86231,,104957236,753970
154,0,Total for all sectors,Equally male/female,Total,Asian,Family-owned,0,S,0,0
155,0,Total for all sectors,Equally male/female,Total,Asian,Not family-owned,0,S,0,0
156,0,Total for all sectors,Equally male/female,Total,Asian,Total reporting,0,S,0,0
157,0,Total for all sectors,Equally male/female,Total,Asian,Item not reported,0,S,0,0
158,2127545,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,All firms,6653,,11177012,54446
159,0,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Family-owned,0,S,0,0
160,565826,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Not family-owned,1997,,3201866,15940
161,860930,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Total reporting,2633,,4721773,24460
162,46731,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Item not reported,315,,270649,1911
163,279853007,Total for all sectors,Equally male/female,Total,Total,All firms,860754,,1340608478,7970121
164,89834073,Total for all sectors,Equally male/female,Total,Total,Family-owned,370955,,425206416,2766889
165,14313466,Total for all sectors,Equally male/female,Total,Total,Not family-owned,43108,,59994440,377732
166,104147540,Total for all sectors,Equally male/female,Total,Total,Total reporting,414063,,485200856,3144622
167,3315129,Total for all sectors,Equally male/female,Total,Total,Item not reported,16348,,16113946,110021
168,447223,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,All firms,2220,,1653244,18732
169,24690,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Family-owned,197,,108003,973
170,210065,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Not family-owned,765,,611133,10099
171,234755,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total reporting,962,,719136,11072
172,0,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Item not reported,0,D,0,0
173,7349841,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,All firms,10229,,30361970,146945
174,240545,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Family-owned,618,,893518,5150
175,3193204,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Not family-owned,4029,,14222478,55628
176,3433750,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total reporting,4647,,15115996,60779
177,94158,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Item not reported,362,,369826,2919
178,9598552,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,All firms,36837,,39319409,320958
179,3537835,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Family-owned,15129,,14030954,113807
180,388085223,Total for all sectors,Female,Total,Total,All firms,1141410,,1776835350,10149257
181,48502827,Total for all sectors,Female,Total,Total,Family-owned,123313,,240576175,1256844
182,88710346,Total for all sectors,Female,Total,Total,Not family-owned,443389,,349259167,2533785
183,137213173,Total for all sectors,Female,Total,Total,Total reporting,566703,,589835343,3790628
184,5072412,Total for all sectors,Female,Total,Total,Item not reported,25452,,21780138,153697
185,6937240308,Total for all sectors,Total,Total,Total,All firms,5722142,,38405539368,128196406
186,310084416,Total for all sectors,Total,Total,Total,Family-owned,787775,,1743977458,8048586
187,643111223,Total for all sectors,Total,Total,Total,Not family-owned,1893857,,2908927005,14397079
188,953195639,Total for all sectors,Total,Total,Total,Total reporting,2681631,,4652904463,22445666
189,34295889,Total for all sectors,Total,Total,Total,Item not reported,126346,,166125369,921012
190,,Total for all sectors,Total,Total,Total,N/A2018,,0.0,,
191,398809,Total for all sectors,Female,Total,Total,All firms,1016,,1016081,12461
192,96500,Total for all sectors,Female,Total,Total,Family-owned,178,,242891,3449
193,0,Total for all sectors,Female,Total,Total,Not family-owned,0,S,0,0
194,235966,Total for all sectors,Female,Total,Total,Total reporting,430,,563356,7386
195,0,Total for all sectors,Female,Total,Total,Item not reported,0,S,0,0
196,26798722,Total for all sectors,Male,Total,Total,All firms,40927,,125412929,596121
197,4128800386,Total for all sectors,Unclassifiable,Unclassifiable,Unclassifiable,All firms,223020,,24048060055,64730622
198,2751844,Total for all sectors,Male,Total,Total,Family-owned,6629,,15338916,67386
199,5983913,Total for all sectors,Male,Total,Total,Not family-owned,12330,,23017334,125891
200,8735757,Total for all sectors,Male,Total,Total,Total reporting,18959,,38356250,193278
201,328158,Total for all sectors,Male,Total,Total,Item not reported,1259,,1530994,7629
202,27689153,Total for all sectors,Equally male/female,Total,Total,All firms,103836,,123856482,801499
203,8715236,Total for all sectors,Equally male/female,Total,Total,Family-owned,46121,,41098453,261229
204,1166826,Total for all sectors,Equally male/female,Total,Total,Not family-owned,4362,,5298664,31644
205,9882063,Total for all sectors,Equally male/female,Total,Total,Total reporting,50482,,46397117,292873
206,427200,Total for all sectors,Equally male/female,Total,Total,Item not reported,2359,,2619723,13726
207,861791,Total for all sectors,Total,Hispanic,Total,All firms,2533,,3326732,26936
208,164287,Total for all sectors,Total,Hispanic,Total,Family-owned,759,,652237,6482
209,141819,Total for all sectors,Total,Hispanic,Total,Not family-owned,369,,557542,2245
210,306106,Total for all sectors,Total,Hispanic,Total,Total reporting,1128,,1209779,8727
211,0,Total for all sectors,Total,Hispanic,Total,Item not reported,0,D,0,0
212,1683478,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,All firms,5553,,6748766,50161
213,276084,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,1902,,1070422,9407
214,180364,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Not family-owned,663,,620580,3807
215,456447,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Total reporting,2567,,1691002,13215
216,0,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Item not reported,0,S,0,0
217,52341415,Total for all sectors,Total,Non-Hispanic,Total,All firms,137695,,240209994,1332984
218,11123210,Total for all sectors,Total,Non-Hispanic,Total,Family-owned,50267,,54957601,316175
219,6968022,Total for all sectors,Total,Non-Hispanic,Total,Not family-owned,15910,,27458341,155419
220,18091232,Total for all sectors,Total,Non-Hispanic,Total,Total reporting,66178,,82415942,471594
221,745747,Total for all sectors,Total,Non-Hispanic,Total,Item not reported,3608,,4148380,21270
222,52478044,Total for all sectors,Total,Total,White,All firms,137284,,241443791,1340030
223,,Total for all sectors,Unclassifiable,Unclassifiable,Unclassifiable,N/A2018,,0.0,,
224,11021333,Total for all sectors,Total,Total,White,Family-owned,50214,,54692687,316437
225,6961048,Total for all sectors,Total,Total,White,Not family-owned,15764,,27491823,152587
226,17982380,Total for all sectors,Total,Total,White,Total reporting,65977,,82184510,469023
227,733540,Total for all sectors,Total,Total,White,Item not reported,3565,,4099162,20828
228,443011,Total for all sectors,Total,Total,Black or African American,All firms,1908,,1615859,15907
229,0,Total for all sectors,Total,Total,Black or African American,Family-owned,0,S,0,0
230,0,Total for all sectors,Total,Total,Black or African American,Not family-owned,0,S,0,0
231,0,Total for all sectors,Total,Total,Black or African American,Total reporting,0,S,0,0
232,0,Total for all sectors,Total,Total,Black or African American,Item not reported,0,D,0,0
233,80534,Total for all sectors,Total,Total,American Indian and Alaska Native,All firms,224,,224577,2381
234,0,Total for all sectors,Total,Total,American Indian and Alaska Native,Family-owned,0,S,0,0
235,0,Total for all sectors,Total,Total,American Indian and Alaska Native,Not family-owned,0,D,0,0
236,0,Total for all sectors,Total,Total,American Indian and Alaska Native,Total reporting,0,S,0,0
237,620279,Total for all sectors,Total,Total,Asian,All firms,1936,,2512566,15524
238,99368,Total for all sectors,Total,Total,Asian,Family-owned,604,,341018,3006
239,80026,Total for all sectors,Total,Total,Asian,Not family-owned,210,,202641,1711
240,179393,Total for all sectors,Total,Total,Asian,Total reporting,814,,543660,4717
241,0,Total for all sectors,Total,Total,Asian,Item not reported,0,D,0,0
242,0,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,All firms,0,S,0,0
243,0,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Family-owned,0,D,0,0
244,0,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Total reporting,0,D,0,0
245,2145428,Total for all sectors,Total,Total,Minority,All firms,7027,,8098002,64276
246,509093,Total for all sectors,Total,Total,Minority,Family-owned,2294,,1865867,16175
247,300347,Total for all sectors,Total,Total,Minority,Not family-owned,846,,993475,5966
248,809440,Total for all sectors,Total,Total,Minority,Total reporting,3140,,2859342,22141
249,313337924,Total for all sectors,Female,Total,Nonminority,All firms,851594,,1473794551,7827183
250,39953999,Total for all sectors,Female,Total,Nonminority,Family-owned,97879,,200644219,1015640
251,70644467,Total for all sectors,Female,Total,Nonminority,Not family-owned,339853,,279915470,1951212
252,110598466,Total for all sectors,Female,Total,Nonminority,Total reporting,437733,,480559689,2966852
253,4059628,Total for all sectors,Female,Total,Nonminority,Item not reported,19017,,17901918,114407
254,1910402434,Total for all sectors,Male,Total,Nonminority,All firms,2852663,,10155308598,39131972
255,156878732,Total for all sectors,Male,Total,Nonminority,Family-owned,248170,,995414297,3575703
256,472970216,Total for all sectors,Male,Total,Nonminority,Not family-owned,1173401,,2197346709,9683335
257,629848948,Total for all sectors,Male,Total,Nonminority,Total reporting,1421572,,3192761006,13259038
258,22083848,Total for all sectors,Male,Total,Nonminority,Item not reported,69752,,108921041,544543
259,227731745,Total for all sectors,Equally male/female,Total,Nonminority,All firms,659911,,1112656778,6231144
260,74075301,Total for all sectors,Equally male/female,Total,Nonminority,Family-owned,296777,,356211107,2230843
261,10870963,Total for all sectors,Equally male/female,Total,Nonminority,Not family-owned,29664,,46780866,282982
262,84946265,Total for all sectors,Equally male/female,Total,Nonminority,Total reporting,326440,,402991973,2513825
263,2665144,Total for all sectors,Equally male/female,Total,Nonminority,Item not reported,12964,,12539616,87919
264,177703562,Total for all sectors,Total,Total,Total,All firms,337934,,947704393,3857701
265,13898045,Total for all sectors,Total,Total,Total,Family-owned,29368,,79196553,328192
266,45609923,Total for all sectors,Total,Total,Total,Not family-owned,140433,,213554846,1044668
267,59507968,Total for all sectors,Total,Total,Total,Total reporting,169802,,292751399,1372860
268,2694210,Total for all sectors,Total,Total,Total,Item not reported,9733,,12974681,55418
269,0,Total for all sectors,Total,Total,Minority,Item not reported,0,S,0,0
270,3142173,Total for all sectors,Total,Total,Equally minority/nonminority,All firms,10206,,12083308,93020
271,527460,Total for all sectors,Total,Total,Equally minority/nonminority,Family-owned,3424,,2053652,17854
272,351287,Total for all sectors,Total,Total,Equally minority/nonminority,Not family-owned,1418,,1373375,9040
273,878747,Total for all sectors,Total,Total,Equally minority/nonminority,Total reporting,4842,,3427027,26893
274,27635,Total for all sectors,Total,Total,Equally minority/nonminority,Item not reported,195,,97264,1412
275,49599083,Total for all sectors,Total,Total,Nonminority,All firms,128547,,230104182,1252784
276,10527029,Total for all sectors,Total,Total,Nonminority,Family-owned,47210,,52760741,298036
277,6638570,Total for all sectors,Total,Total,Nonminority,Not family-owned,14680,,26269613,146466
278,17165599,Total for all sectors,Total,Total,Nonminority,Total reporting,61890,,79030354,444502
279,725248,Total for all sectors,Total,Total,Nonminority,Item not reported,3464,,4069194,20306
280,2575849676,Total for all sectors,Total,Total,Total,All firms,5015409,,13159489428,58198002
281,284622790,Total for all sectors,Total,Total,Total,Family-owned,705477,,1608100645,7388330
282,590211095,Total for all sectors,Total,Total,Total,Not family-owned,1736479,,2666735696,13190940
283,874833885,Total for all sectors,Total,Total,Total,Total reporting,2441955,,4274836340,20579269
284,30835801,Total for all sectors,Total,Total,Total,Item not reported,112871,,148950813,843411
285,3404370,Total for all sectors,Female,Total,Total,All firms,11178,,11938575,81069
286,273955,Total for all sectors,Female,Total,Total,Family-owned,1149,,838062,7976
287,734634,Total for all sectors,Female,Total,Total,Not family-owned,4482,,2349112,22551
288,1008590,Total for all sectors,Female,Total,Total,Total reporting,5632,,3187173,30527
289,384282044,Total for all sectors,Female,Total,Total,All firms,1129216,,1763880693,10055727
290,48132371,Total for all sectors,Female,Total,Total,Family-owned,121985,,239495223,1245418
291,87836246,Total for all sectors,Female,Total,Total,Not family-owned,438657,,346589590,2507297
292,135968617,Total for all sectors,Female,Total,Total,Total reporting,560643,,586084813,3752715
293,4864298,Total for all sectors,Female,Total,Total,Item not reported,25015,,19673840,149342
294,1940091348,Total for all sectors,Male,Total,Total,All firms,3132980,,10181106862,41003013
295,155548475,Total for all sectors,Male,Total,Total,Family-owned,260262,,985231798,3644296
296,489269404,Total for all sectors,Male,Total,Total,Not family-owned,1259249,,2265525282,10338599
297,644817879,Total for all sectors,Male,Total,Total,Total reporting,1519512,,3250757080,13982895
298,23084548,Total for all sectors,Male,Total,Total,Item not reported,73925,,115785295,597835
299,197594,Total for all sectors,Female,Total,Total,Item not reported,313,,2057140,3528
300,173611622,Total for all sectors,Male,Total,Total,All firms,323052,,933515695,3747272
301,13447197,Total for all sectors,Male,Total,Total,Family-owned,26616,,77624152,313171
302,44834094,Total for all sectors,Male,Total,Total,Not family-owned,135780,,211130782,1021072
303,58281290,Total for all sectors,Male,Total,Total,Total reporting,162395,,288754935,1334244
304,2495642,Total for all sectors,Male,Total,Total,Item not reported,9358,,10914997,51829
305,687570,Total for all sectors,Equally male/female,Total,Total,All firms,3704,,2250123,29360
306,176893,Total for all sectors,Equally male/female,Total,Total,Family-owned,1604,,734339,7044
307,0,Total for all sectors,Equally male/female,Total,Total,Not family-owned,0,S,0,0
308,218088,Total for all sectors,Equally male/female,Total,Total,Total reporting,1777,,809291,8089
309,0,Total for all sectors,Equally male/female,Total,Total,Item not reported,0,S,0,0
310,6615186,Total for all sectors,Total,Hispanic,Total,All firms,12537,,24497345,143868
311,0,Total for all sectors,Total,Hispanic,Total,Family-owned,0,S,0,0
312,1720307,Total for all sectors,Total,Hispanic,Total,Not family-owned,4807,,5019322,43537
313,2288069,Total for all sectors,Total,Hispanic,Total,Total reporting,5764,,9605366,53084
314,31559,Total for all sectors,Total,Hispanic,Total,Item not reported,215,,87670,840
315,0,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,All firms,0,S,0,0
316,0,Total for all sectors,Total,Equally Hispanic/non-Hispanic,Total,Family-owned,0,S,0,0
