,industry,race,revenue_ranges
1396,Agriculture/Forestry/Fishing/Hunting,Asian,I
1402,Agriculture/Forestry/Fishing/Hunting,Asian,L
1419,Agriculture/Forestry/Fishing/Hunting,White,W
1420,Agriculture/Forestry/Fishing/Hunting,White,U
1421,Agriculture/Forestry/Fishing/Hunting,White,W
1422,Agriculture/Forestry/Fishing/Hunting,White,U
1423,Agriculture/Forestry/Fishing/Hunting,White,U
1424,Agriculture/Forestry/Fishing/Hunting,White,O
1425,Agriculture/Forestry/Fishing/Hunting,White,W
1428,Agriculture/Forestry/Fishing/Hunting,White,U
1429,Agriculture/Forestry/Fishing/Hunting,White,U
1430,Agriculture/Forestry/Fishing/Hunting,White,W
1431,Agriculture/Forestry/Fishing/Hunting,White,W
1433,Agriculture/Forestry/Fishing/Hunting,Black or African American,I
1437,Agriculture/Forestry/Fishing/Hunting,Black or African American,B
1463,Agriculture/Forestry/Fishing/Hunting,White,T
1476,Agriculture/Forestry/Fishing/Hunting,Native Hawaiian and Other Pacific Islander,L
1503,Mining/Quarrying/Oil&Gas Extraction,White,W
1504,Mining/Quarrying/Oil&Gas Extraction,White,U
1505,Mining/Quarrying/Oil&Gas Extraction,White,U
1506,Mining/Quarrying/Oil&Gas Extraction,White,U
1508,Mining/Quarrying/Oil&Gas Extraction,White,W
1509,Mining/Quarrying/Oil&Gas Extraction,White,W
1510,Mining/Quarrying/Oil&Gas Extraction,White,W
1512,Mining/Quarrying/Oil&Gas Extraction,White,W
1542,Mining/Quarrying/Oil&Gas Extraction,White,W
1544,Mining/Quarrying/Oil&Gas Extraction,White,T
1545,Mining/Quarrying/Oil&Gas Extraction,White,R
1546,Mining/Quarrying/Oil&Gas Extraction,White,R
1547,Mining/Quarrying/Oil&Gas Extraction,White,U
1549,Mining/Quarrying/Oil&Gas Extraction,White,T
1550,Mining/Quarrying/Oil&Gas Extraction,White,U
1551,Mining/Quarrying/Oil&Gas Extraction,White,U
1575,Agriculture/Forestry/Fishing/Hunting,White,T
1576,Agriculture/Forestry/Fishing/Hunting,White,K
1577,Agriculture/Forestry/Fishing/Hunting,White,O
1582,Mining/Quarrying/Oil&Gas Extraction,White,W
1583,Mining/Quarrying/Oil&Gas Extraction,White,U
1584,Mining/Quarrying/Oil&Gas Extraction,White,U
1585,Mining/Quarrying/Oil&Gas Extraction,White,U
1587,Mining/Quarrying/Oil&Gas Extraction,White,W
1588,Mining/Quarrying/Oil&Gas Extraction,White,W
1589,Mining/Quarrying/Oil&Gas Extraction,White,W
1591,Mining/Quarrying/Oil&Gas Extraction,White,W
1592,Mining/Quarrying/Oil&Gas Extraction,White,W
1626,Mining/Quarrying/Oil&Gas Extraction,White,T
1627,Mining/Quarrying/Oil&Gas Extraction,White,T
1628,Mining/Quarrying/Oil&Gas Extraction,White,T
1630,Mining/Quarrying/Oil&Gas Extraction,White,T
1631,Mining/Quarrying/Oil&Gas Extraction,White,R
1634,Mining/Quarrying/Oil&Gas Extraction,White,U
1635,Mining/Quarrying/Oil&Gas Extraction,White,L
1636,Mining/Quarrying/Oil&Gas Extraction,White,R
1669,Mining/Quarrying/Oil&Gas Extraction,White,R
1671,Mining/Quarrying/Oil&Gas Extraction,White,U
1675,Mining/Quarrying/Oil&Gas Extraction,White,K
1676,Mining/Quarrying/Oil&Gas Extraction,White,L
1719,Mining/Quarrying/Oil&Gas Extraction,White,W
1720,Mining/Quarrying/Oil&Gas Extraction,White,U
1721,Mining/Quarrying/Oil&Gas Extraction,White,U
1722,Mining/Quarrying/Oil&Gas Extraction,White,U
1724,Mining/Quarrying/Oil&Gas Extraction,White,W
1725,Mining/Quarrying/Oil&Gas Extraction,White,W
1726,Mining/Quarrying/Oil&Gas Extraction,White,W
1728,Mining/Quarrying/Oil&Gas Extraction,White,W
1770,Mining/Quarrying/Oil&Gas Extraction,White,W
1771,Mining/Quarrying/Oil&Gas Extraction,White,W
1772,Mining/Quarrying/Oil&Gas Extraction,White,U
1773,Mining/Quarrying/Oil&Gas Extraction,Black or African American,K
1776,Mining/Quarrying/Oil&Gas Extraction,Black or African American,I
1782,Agriculture/Forestry/Fishing/Hunting,White,U
1783,Agriculture/Forestry/Fishing/Hunting,White,W
1784,Agriculture/Forestry/Fishing/Hunting,White,U
1785,Agriculture/Forestry/Fishing/Hunting,White,W
1786,Agriculture/Forestry/Fishing/Hunting,White,U
1787,Agriculture/Forestry/Fishing/Hunting,White,W
1790,Agriculture/Forestry/Fishing/Hunting,White,R
1791,Agriculture/Forestry/Fishing/Hunting,White,U
1815,Mining/Quarrying/Oil&Gas Extraction,Black or African American,K
1820,Mining/Quarrying/Oil&Gas Extraction,Black or African American,K
1822,Mining/Quarrying/Oil&Gas Extraction,Black or African American,I
1824,Agriculture/Forestry/Fishing/Hunting,White,U
1825,Agriculture/Forestry/Fishing/Hunting,White,W
1826,Agriculture/Forestry/Fishing/Hunting,White,W
1829,Agriculture/Forestry/Fishing/Hunting,White,W
1831,Agriculture/Forestry/Fishing/Hunting,Black or African American,B
1860,Mining/Quarrying/Oil&Gas Extraction,Black or African American,K
1862,Mining/Quarrying/Oil&Gas Extraction,Black or African American,I
1866,Agriculture/Forestry/Fishing/Hunting,Black or African American,B
1906,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
1907,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,K
1910,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,L
1911,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
1912,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,M
1915,Agriculture/Forestry/Fishing/Hunting,Asian,I
1921,Agriculture/Forestry/Fishing/Hunting,Asian,L
1926,Agriculture/Forestry/Fishing/Hunting,Native Hawaiian and Other Pacific Islander,L
1950,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,L
1955,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,L
1956,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
1957,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,I
1960,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,L
1961,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,O
1962,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,M
1966,Agriculture/Forestry/Fishing/Hunting,Native Hawaiian and Other Pacific Islander,L
1968,Agriculture/Forestry/Fishing/Hunting,Native Hawaiian and Other Pacific Islander,L
1987,Agriculture/Forestry/Fishing/Hunting,White,K
1994,Agriculture/Forestry/Fishing/Hunting,White,O
2008,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
2009,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,K
2042,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,L
2043,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
2044,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,M
2045,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,L
2046,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
2048,Mining/Quarrying/Oil&Gas Extraction,Asian,R
2049,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2050,Mining/Quarrying/Oil&Gas Extraction,Asian,L
2052,Mining/Quarrying/Oil&Gas Extraction,Asian,K
2098,Mining/Quarrying/Oil&Gas Extraction,Asian,L
2103,Mining/Quarrying/Oil&Gas Extraction,Asian,R
2104,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2105,Mining/Quarrying/Oil&Gas Extraction,Asian,L
2110,Agriculture/Forestry/Fishing/Hunting,Native Hawaiian and Other Pacific Islander,L
2117,Agriculture/Forestry/Fishing/Hunting,Native Hawaiian and Other Pacific Islander,L
2147,Mining/Quarrying/Oil&Gas Extraction,Asian,R
2148,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2149,Mining/Quarrying/Oil&Gas Extraction,Asian,L
2151,Mining/Quarrying/Oil&Gas Extraction,Asian,K
2179,Utilities,White,K
2180,Utilities,White,L
2182,Utilities,White,K
2183,Utilities,White,L
2185,Utilities,White,O
2189,Utilities,White,R
2219,Utilities,White,I
2223,Utilities,White,R
2224,Utilities,White,I
2225,Utilities,White,W
2226,Utilities,White,U
2227,Utilities,White,T
2229,Utilities,White,U
2230,Utilities,White,U
2234,Utilities,White,W
2288,Mining/Quarrying/Oil&Gas Extraction,White,T
2289,Mining/Quarrying/Oil&Gas Extraction,White,K
2293,Mining/Quarrying/Oil&Gas Extraction,White,O
2294,Mining/Quarrying/Oil&Gas Extraction,White,M
2295,Mining/Quarrying/Oil&Gas Extraction,White,O
2345,Utilities,Asian,I
2348,Utilities,Asian,R
2349,Utilities,Asian,K
2389,Utilities,Asian,R
2390,Utilities,Asian,K
2395,Utilities,Asian,I
2396,Utilities,Asian,R
2513,Mining/Quarrying/Oil&Gas Extraction,White,W
2514,Mining/Quarrying/Oil&Gas Extraction,White,M
2515,Mining/Quarrying/Oil&Gas Extraction,White,R
2518,Mining/Quarrying/Oil&Gas Extraction,White,R
2521,Mining/Quarrying/Oil&Gas Extraction,White,T
2523,Mining/Quarrying/Oil&Gas Extraction,White,U
2526,Mining/Quarrying/Oil&Gas Extraction,White,W
2527,Mining/Quarrying/Oil&Gas Extraction,White,U
2528,Mining/Quarrying/Oil&Gas Extraction,White,U
2530,Mining/Quarrying/Oil&Gas Extraction,White,W
2531,Mining/Quarrying/Oil&Gas Extraction,White,W
2532,Mining/Quarrying/Oil&Gas Extraction,White,W
2534,Mining/Quarrying/Oil&Gas Extraction,White,W
2558,Agriculture/Forestry/Fishing/Hunting,Asian,L
2561,Agriculture/Forestry/Fishing/Hunting,Native Hawaiian and Other Pacific Islander,L
2565,Mining/Quarrying/Oil&Gas Extraction,White,T
2567,Mining/Quarrying/Oil&Gas Extraction,White,W
2570,Mining/Quarrying/Oil&Gas Extraction,White,W
2577,Mining/Quarrying/Oil&Gas Extraction,White,W
2578,Mining/Quarrying/Oil&Gas Extraction,White,W
2579,Mining/Quarrying/Oil&Gas Extraction,White,W
2580,Mining/Quarrying/Oil&Gas Extraction,White,U
2582,Mining/Quarrying/Oil&Gas Extraction,White,W
2584,Mining/Quarrying/Oil&Gas Extraction,Black or African American,K
2586,Mining/Quarrying/Oil&Gas Extraction,Black or African American,I
2591,Utilities,White,W
2592,Utilities,White,U
2593,Utilities,White,T
2595,Utilities,White,U
2597,Utilities,White,U
2600,Utilities,White,W
2602,Mining/Quarrying/Oil&Gas Extraction,Asian,L
2603,Mining/Quarrying/Oil&Gas Extraction,Asian,R
2615,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2616,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2617,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2618,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2628,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
2629,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,K
2633,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
2634,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,M
2635,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
2636,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,L
2638,Mining/Quarrying/Oil&Gas Extraction,American Indian and Alaska Native,R
2640,Utilities,White,T
2641,Utilities,White,L
2642,Utilities,White,O
2643,Utilities,White,O
2645,Utilities,White,R
2646,Utilities,White,R
2647,Utilities,White,R
2648,Utilities,White,W
2649,Utilities,White,U
2650,Utilities,White,U
2651,Utilities,White,T
2653,Utilities,White,U
2681,Mining/Quarrying/Oil&Gas Extraction,Asian,K
2682,Mining/Quarrying/Oil&Gas Extraction,Asian,I
2683,Mining/Quarrying/Oil&Gas Extraction,Asian,L
2687,Mining/Quarrying/Oil&Gas Extraction,Asian,L
2696,Utilities,White,W
2698,Utilities,White,L
2701,Utilities,White,O
2702,Utilities,White,O
2703,Utilities,White,O
2730,Utilities,American Indian and Alaska Native,O
2731,Utilities,Asian,R
2732,Utilities,Asian,K
2737,Utilities,Asian,I
2738,Utilities,Asian,R
2741,Utilities,Asian,R
2750,Construction,American Indian and Alaska Native,U
2752,Construction,American Indian and Alaska Native,T
2757,Construction,American Indian and Alaska Native,W
2759,Construction,Asian,W
2760,Construction,Asian,U
2761,Construction,Asian,U
2762,Construction,Asian,U
2763,Construction,Asian,U
2764,Construction,Asian,W
2806,Construction,Asian,T
2809,Construction,Asian,T
2811,Construction,Asian,T
2841,Utilities,White,R
2842,Utilities,White,L
2843,Utilities,White,K
2845,Utilities,White,M
2846,Construction,White,W
2847,Construction,White,W
2848,Construction,White,W
2849,Construction,White,W
2850,Construction,White,W
2851,Construction,White,W
2852,Construction,White,W
2853,Construction,White,W
2854,Construction,White,U
2855,Construction,White,W
2856,Construction,White,W
2857,Construction,White,W
2858,Construction,White,W
2859,Construction,White,W
2860,Construction,White,W
2862,Construction,White,W
2863,Construction,Asian,W
2864,Construction,Asian,T
2865,Construction,Asian,U
2866,Construction,Asian,U
2867,Construction,Asian,U
2868,Construction,Asian,W
2871,Construction,Asian,T
2873,Construction,Asian,L
2874,Construction,Asian,R
2886,Utilities,White,O
2891,Utilities,White,R
2893,Utilities,White,R
2903,Construction,White,W
2904,Construction,White,W
2905,Construction,White,W
2906,Construction,White,W
2907,Construction,White,W
2908,Construction,White,W
2909,Construction,White,W
2910,Construction,White,W
2911,Construction,White,W
2912,Construction,White,W
2916,Construction,Asian,I
2951,Construction,White,W
2952,Construction,White,W
2953,Construction,White,W
2954,Construction,White,W
2955,Construction,White,W
2956,Construction,White,W
2957,Construction,White,W
2958,Construction,White,W
2961,Construction,White,W
2962,Construction,White,U
3001,Construction,White,W
3003,Construction,White,W
3004,Construction,White,W
3005,Construction,White,W
3006,Construction,White,W
3007,Construction,White,W
3008,Construction,White,T
3009,Construction,White,U
3010,Construction,White,W
3011,Construction,White,W
3012,Construction,White,W
3013,Construction,White,W
3014,Construction,White,R
3015,Construction,White,T
3016,Construction,White,U
3017,Construction,White,U
3049,Construction,White,R
3051,Construction,White,U
3052,Construction,White,W
3053,Construction,White,W
3054,Construction,White,W
3055,Construction,White,W
3056,Construction,White,W
3057,Construction,White,W
3058,Construction,White,W
3059,Construction,White,W
3060,Construction,White,W
3061,Construction,White,W
3062,Construction,White,W
3067,Construction,Asian,W
3068,Construction,Asian,U
3069,Construction,Asian,U
3070,Construction,Asian,U
3071,Construction,Asian,U
3072,Construction,Asian,T
3073,Construction,Asian,W
3077,Construction,Asian,W
3100,Utilities,White,O
3101,Utilities,White,K
3102,Utilities,White,L
3107,Construction,White,W
3108,Construction,White,W
3109,Construction,White,W
3110,Construction,Black or African American,W
3112,Construction,Black or African American,U
3114,Construction,Black or African American,U
3116,Construction,Black or African American,U
3117,Construction,Black or African American,T
3119,Construction,Black or African American,M
3120,Construction,Native Hawaiian and Other Pacific Islander,U
3122,Construction,Native Hawaiian and Other Pacific Islander,R
3124,Construction,Native Hawaiian and Other Pacific Islander,T
3125,Construction,Native Hawaiian and Other Pacific Islander,O
3127,Construction,Native Hawaiian and Other Pacific Islander,O
3128,Construction,Native Hawaiian and Other Pacific Islander,I
3130,Construction,Native Hawaiian and Other Pacific Islander,K
3149,Utilities,White,O
3151,Utilities,White,O
3161,Construction,Black or African American,U
3169,Construction,Black or African American,W
3170,Construction,Native Hawaiian and Other Pacific Islander,T
3172,Construction,Native Hawaiian and Other Pacific Islander,R
3175,Construction,Native Hawaiian and Other Pacific Islander,O
3196,Construction,Black or African American,U
3197,Construction,Black or African American,U
3199,Construction,Black or African American,U
3200,Construction,Black or African American,L
3202,Construction,Black or African American,T
3204,Construction,Black or African American,R
3205,Construction,Black or African American,L
3210,Construction,Native Hawaiian and Other Pacific Islander,I
3211,Construction,Native Hawaiian and Other Pacific Islander,I
3214,Construction,Native Hawaiian and Other Pacific Islander,I
3216,Construction,Native Hawaiian and Other Pacific Islander,I
3245,Construction,Black or African American,T
3246,Construction,Black or African American,M
3247,Construction,Black or African American,R
3254,Construction,Native Hawaiian and Other Pacific Islander,U
3256,Construction,Native Hawaiian and Other Pacific Islander,R
3259,Construction,Native Hawaiian and Other Pacific Islander,O
3261,Construction,Native Hawaiian and Other Pacific Islander,O
3262,Construction,Native Hawaiian and Other Pacific Islander,T
3294,Construction,Black or African American,T
3295,Construction,Black or African American,W
3297,Construction,Black or African American,U
3298,Construction,Black or African American,U
3300,Construction,Black or African American,U
3302,Construction,Black or African American,T
3304,Construction,Black or African American,M
3346,Construction,Black or African American,U
3347,Construction,Black or African American,W
3348,Construction,American Indian and Alaska Native,U
3349,Construction,Black or African American,R
3350,Construction,American Indian and Alaska Native,W
3351,Construction,American Indian and Alaska Native,R
3352,Construction,American Indian and Alaska Native,T
3353,Construction,American Indian and Alaska Native,U
3355,Construction,American Indian and Alaska Native,T
3359,Construction,American Indian and Alaska Native,U
3361,Construction,American Indian and Alaska Native,R
3398,Construction,American Indian and Alaska Native,R
3401,Construction,American Indian and Alaska Native,R
3404,Construction,American Indian and Alaska Native,W
3405,Construction,American Indian and Alaska Native,R
3408,Construction,American Indian and Alaska Native,U
3410,Construction,American Indian and Alaska Native,R
3411,Construction,American Indian and Alaska Native,R
3436,Construction,White,W
3437,Construction,White,W
3438,Construction,White,W
3442,Utilities,White,W
3443,Utilities,White,U
3444,Utilities,White,T
3446,Utilities,White,U
3447,Utilities,White,U
3451,Utilities,White,W
3452,Construction,American Indian and Alaska Native,R
3478,Utilities,White,T
3479,Utilities,White,W
3482,Utilities,White,R
3483,Utilities,White,W
3484,Utilities,Black or African American,K
3485,Utilities,Black or African American,I
3488,Utilities,Black or African American,K
3489,Utilities,Black or African American,K
3490,Utilities,American Indian and Alaska Native,O
3499,Construction,American Indian and Alaska Native,T
3505,Construction,American Indian and Alaska Native,T
3507,Construction,American Indian and Alaska Native,W
3508,Construction,American Indian and Alaska Native,R
3510,Construction,American Indian and Alaska Native,T
3528,Construction,Asian,I
3529,Construction,Asian,I
3531,Construction,Native Hawaiian and Other Pacific Islander,I
3532,Construction,Native Hawaiian and Other Pacific Islander,I
3553,Manufacturing,White,W
3555,Manufacturing,White,U
3556,Manufacturing,White,U
3557,Manufacturing,White,U
3558,Manufacturing,White,W
3559,Manufacturing,White,W
3561,Manufacturing,White,U
3562,Manufacturing,White,U
3593,Manufacturing,White,W
3594,Manufacturing,White,W
3595,Manufacturing,White,U
3597,Manufacturing,White,O
3598,Manufacturing,White,R
3599,Manufacturing,White,R
3601,Manufacturing,White,T
3653,Manufacturing,White,T
3655,Manufacturing,White,W
3656,Manufacturing,White,W
3657,Manufacturing,White,W
3658,Manufacturing,White,W
3659,Manufacturing,White,W
3660,Manufacturing,White,W
3661,Manufacturing,White,W
3662,Manufacturing,White,W
3663,Manufacturing,White,W
3664,Manufacturing,White,W
3673,Construction,White,W
3674,Construction,White,U
3675,Construction,White,W
3676,Construction,White,W
3677,Construction,White,W
3678,Construction,White,W
3679,Construction,White,W
3681,Construction,White,T
3682,Construction,White,W
3712,Manufacturing,White,W
3713,Manufacturing,White,W
3714,Manufacturing,White,W
3715,Manufacturing,Black or African American,W
3716,Manufacturing,Black or African American,M
3717,Manufacturing,Black or African American,R
3718,Manufacturing,Black or African American,R
3719,Manufacturing,Black or African American,R
3720,Manufacturing,Black or African American,T
3721,Manufacturing,Black or African American,U
3722,Manufacturing,Black or African American,T
3723,Manufacturing,Black or African American,T
3724,Manufacturing,Black or African American,T
3725,Manufacturing,Black or African American,T
3727,Manufacturing,Black or African American,O
3729,Construction,White,W
3731,Construction,White,U
3732,Construction,White,W
3734,Construction,Black or African American,L
3760,Manufacturing,Black or African American,M
3761,Manufacturing,Black or African American,L
3763,Manufacturing,Black or African American,O
3765,Manufacturing,Black or African American,U
3766,Manufacturing,Black or African American,R
3767,Manufacturing,Black or African American,L
3768,Manufacturing,Black or African American,O
3769,Manufacturing,Black or African American,R
3770,Manufacturing,Black or African American,R
3771,Manufacturing,Black or African American,T
3772,Manufacturing,Black or African American,T
3773,Manufacturing,Black or African American,T
3774,Manufacturing,Black or African American,U
3781,Construction,American Indian and Alaska Native,I
3812,Manufacturing,Black or African American,L
3813,Manufacturing,Black or African American,K
3814,Manufacturing,Black or African American,K
3815,Manufacturing,Black or African American,K
3818,Construction,American Indian and Alaska Native,K
3869,Manufacturing,Black or African American,O
3871,Manufacturing,Black or African American,L
3876,Manufacturing,Black or African American,L
3877,Manufacturing,Black or African American,M
3881,Manufacturing,Black or African American,U
3882,Manufacturing,Black or African American,M
3883,Manufacturing,Black or African American,R
3884,Manufacturing,Black or African American,R
3885,Manufacturing,Black or African American,R
3924,Manufacturing,Black or African American,T
3925,Manufacturing,Black or African American,T
3926,Manufacturing,Black or African American,T
3927,Manufacturing,Black or African American,T
3928,Manufacturing,Black or African American,U
3929,Manufacturing,Black or African American,T
3930,Manufacturing,Black or African American,U
3931,Manufacturing,Black or African American,L
3932,Manufacturing,American Indian and Alaska Native,U
3934,Manufacturing,American Indian and Alaska Native,O
3935,Manufacturing,American Indian and Alaska Native,O
3937,Manufacturing,American Indian and Alaska Native,T
3938,Manufacturing,American Indian and Alaska Native,R
3956,Construction,White,W
3957,Construction,White,W
3958,Construction,White,W
3959,Construction,White,W
3960,Construction,White,W
3961,Construction,White,W
3962,Construction,White,W
3963,Construction,White,W
3964,Construction,White,W
3965,Construction,White,W
3981,Manufacturing,American Indian and Alaska Native,R
3984,Manufacturing,American Indian and Alaska Native,T
3985,Manufacturing,American Indian and Alaska Native,I
3986,Manufacturing,American Indian and Alaska Native,L
3987,Manufacturing,American Indian and Alaska Native,M
3988,Manufacturing,American Indian and Alaska Native,L
4003,Construction,White,W
4004,Construction,White,W
4005,Construction,White,W
4006,Construction,White,W
4007,Construction,White,W
4008,Construction,White,W
4009,Construction,Black or African American,W
4011,Construction,Black or African American,U
4012,Construction,Black or African American,U
4016,Construction,Black or African American,R
4018,Construction,Black or African American,M
4027,Manufacturing,American Indian and Alaska Native,U
4029,Manufacturing,American Indian and Alaska Native,O
4030,Manufacturing,American Indian and Alaska Native,O
4032,Manufacturing,American Indian and Alaska Native,R
4033,Manufacturing,American Indian and Alaska Native,R
4034,Manufacturing,American Indian and Alaska Native,R
4051,Construction,Black or African American,R
4052,Construction,Black or African American,U
4053,Construction,Black or African American,W
4054,Construction,Black or African American,T
4055,Construction,Black or African American,W
4056,Construction,American Indian and Alaska Native,W
4057,Construction,American Indian and Alaska Native,R
4058,Construction,American Indian and Alaska Native,T
4059,Construction,American Indian and Alaska Native,T
4060,Construction,American Indian and Alaska Native,U
4062,Construction,American Indian and Alaska Native,T
4077,Manufacturing,American Indian and Alaska Native,L
4078,Manufacturing,American Indian and Alaska Native,I
4085,Manufacturing,American Indian and Alaska Native,L
4100,Construction,American Indian and Alaska Native,U
4101,Construction,American Indian and Alaska Native,W
4102,Construction,American Indian and Alaska Native,R
4103,Construction,American Indian and Alaska Native,T
4104,Construction,American Indian and Alaska Native,W
4105,Construction,Asian,W
4106,Construction,Asian,U
4107,Construction,Asian,U
4108,Construction,Asian,U
4109,Construction,Asian,U
4110,Construction,Asian,T
4111,Construction,Asian,W
4133,Manufacturing,American Indian and Alaska Native,U
4135,Manufacturing,American Indian and Alaska Native,O
4136,Manufacturing,American Indian and Alaska Native,O
4138,Manufacturing,American Indian and Alaska Native,T
4139,Manufacturing,American Indian and Alaska Native,R
4140,Manufacturing,American Indian and Alaska Native,R
4154,Construction,Asian,W
4158,Construction,Asian,W
4159,Construction,Native Hawaiian and Other Pacific Islander,T
4160,Construction,Native Hawaiian and Other Pacific Islander,K
4161,Construction,Native Hawaiian and Other Pacific Islander,R
4164,Construction,Native Hawaiian and Other Pacific Islander,O
4211,Construction,Native Hawaiian and Other Pacific Islander,O
4212,Construction,Native Hawaiian and Other Pacific Islander,T
4214,Construction,Native Hawaiian and Other Pacific Islander,T
4225,Manufacturing,White,W
4226,Manufacturing,White,W
4227,Manufacturing,White,W
4228,Manufacturing,White,W
4229,Manufacturing,White,W
4230,Manufacturing,White,W
4231,Manufacturing,White,W
4232,Manufacturing,White,W
4233,Manufacturing,White,W
4234,Manufacturing,White,W
4258,Construction,White,W
4259,Construction,White,T
4260,Construction,White,U
4261,Construction,White,U
4262,Construction,White,U
4263,Construction,White,W
4267,Construction,White,R
4284,Manufacturing,White,W
4285,Manufacturing,White,U
4286,Manufacturing,White,U
4287,Manufacturing,White,W
4288,Manufacturing,White,W
4289,Manufacturing,White,W
4290,Manufacturing,White,W
4291,Manufacturing,White,W
4293,Manufacturing,White,W
4294,Manufacturing,White,W
4295,Manufacturing,White,W
4296,Manufacturing,White,W
4297,Manufacturing,White,W
4312,Construction,White,W
4313,Construction,White,W
4316,Construction,White,W
4318,Construction,Black or African American,K
4337,Manufacturing,White,W
4338,Manufacturing,White,W
4339,Manufacturing,White,W
4340,Manufacturing,White,W
4341,Manufacturing,White,W
4342,Manufacturing,White,W
4343,Manufacturing,White,W
4344,Manufacturing,White,U
4345,Manufacturing,White,U
4346,Manufacturing,White,W
4347,Manufacturing,White,W
4348,Manufacturing,White,W
4349,Manufacturing,White,W
4350,Manufacturing,White,W
4351,Manufacturing,White,W
4352,Manufacturing,White,W
4372,Construction,Asian,I
4374,Construction,Asian,B
4385,Manufacturing,American Indian and Alaska Native,O
4387,Manufacturing,American Indian and Alaska Native,T
4388,Manufacturing,American Indian and Alaska Native,R
