,annual_payroll,industry,sex,ethnicity,race,buschar_label,number_of_firms,firmpdemp_f,revenue,number_of_employees
23,1462143,Total for all sectors,Female,Hispanic,Total,Item not reported,9453,,5849539,57882
24,70543436,Total for all sectors,Male,Hispanic,Total,All firms,209426,,325773064,1957790
25,1774956,Total for all sectors,Male,Hispanic,Total,Federal government,2899,,7752461,33139
26,3620734,Total for all sectors,Male,Hispanic,Total,State and local government,5699,,13698415,66361
27,12338072,Total for all sectors,Male,Hispanic,Total,Other businesses,32823,,56610978,287405
28,697148,Total for all sectors,Male,Hispanic,Total,Other organizations,2470,,2423983,19997
29,13196892,Total for all sectors,Male,Hispanic,Total,Individuals,57226,,57677138,410181
30,24144549,Total for all sectors,Male,Hispanic,Total,Total reporting,80114,,106595630,653907
31,3175986,Total for all sectors,Male,Hispanic,Total,Item not reported,17899,,14539515,110224
32,8584188,Total for all sectors,Equally male/female,Hispanic,Total,All firms,37700,,38767893,291696
33,0,Total for all sectors,Equally male/female,Hispanic,Total,Federal government,0,S,0,0
34,6937240308,Total for all sectors,Total,Total,Total,All firms,5722142,,38405539368,128196406
35,416425521,Total for all sectors,Total,Total,Total,Federal government,65631,,2075578479,5193486
36,456972174,Total for all sectors,Total,Total,Total,State and local government,186789,,2508682412,6436479
37,1919418798,Total for all sectors,Total,Total,Total,Other businesses,988165,,12251112424,26135018
38,391892238,Total for all sectors,Total,Total,Total,Other organizations,114471,,2106613075,4848692
39,1631656819,Total for all sectors,Total,Total,Total,Individuals,1673495,,8942363211,32142875
40,2972370700,Total for all sectors,Total,Total,Total,Total reporting,2368757,,17399216197,50057197
41,682881494,Total for all sectors,Total,Total,Total,Item not reported,514791,,4204208636,12289335
42,2140501692,Total for all sectors,Male,Total,Total,All firms,3496959,,11240035485,45346405
43,38733472,Total for all sectors,Male,Total,Total,Federal government,41602,,152642443,650689
44,90954676,Total for all sectors,Male,Total,Total,State and local government,119153,,500373864,1648990
45,394394006,Total for all sectors,Male,Total,Total,Other businesses,671198,,2117206781,6951330
46,39807055,Total for all sectors,Male,Total,Total,Other organizations,70374,,164154457,755476
47,353661815,Total for all sectors,Male,Total,Total,Individuals,1035591,,1749402840,8963002
48,663638708,Total for all sectors,Male,Total,Total,Total reporting,1497899,,3364037071,14247065
49,74104565,Total for all sectors,Male,Total,Total,Item not reported,287510,,342062480,1920644
50,101103299,Total for all sectors,Total,Hispanic,Total,All firms,331625,,455644682,2972140
51,2329325,Total for all sectors,Total,Hispanic,Total,Federal government,4284,,9496932,46075
52,5009605,Total for all sectors,Total,Hispanic,Total,State and local government,9283,,18227509,103850
53,16798463,Total for all sectors,Total,Hispanic,Total,Other businesses,47906,,78122578,399052
54,1019854,Total for all sectors,Total,Hispanic,Total,Other organizations,4365,,3973790,30564
55,19472586,Total for all sectors,Total,Hispanic,Total,Individuals,91840,,86622474,636181
56,34299795,Total for all sectors,Total,Hispanic,Total,Total reporting,125260,,151693282,969755
57,5292862,Total for all sectors,Total,Hispanic,Total,Item not reported,30980,,23392854,190205
58,21692082,Total for all sectors,Equally male/female,Total,Asian,All firms,86231,,104957236,753970
59,0,Total for all sectors,Equally male/female,Total,Asian,Federal government,0,S,0,0
60,0,Total for all sectors,Equally male/female,Total,Asian,State and local government,0,S,0,0
61,0,Total for all sectors,Equally male/female,Total,Asian,Other businesses,0,S,0,0
62,0,Total for all sectors,Equally male/female,Total,Asian,Other organizations,0,S,0,0
63,0,Total for all sectors,Equally male/female,Total,Asian,Individuals,0,S,0,0
64,0,Total for all sectors,Equally male/female,Total,Asian,Total reporting,0,S,0,0
65,0,Total for all sectors,Equally male/female,Total,Asian,Item not reported,0,S,0,0
66,2127545,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,All firms,6653,,11177012,54446
67,0,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Federal government,0,S,0,0
68,0,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,State and local government,0,S,0,0
69,485520,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Other businesses,1014,,3597941,11319
70,0,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Other organizations,0,S,0,0
71,525534,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Individuals,1598,,2191863,15303
72,815674,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Total reporting,2305,,4536158,22937
73,91987,Total for all sectors,Total,Total,Native Hawaiian and Other Pacific Islander,Item not reported,643,,456264,3434
74,1559923,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Other businesses,5916,,6857958,38338
75,99202,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Other organizations,513,,316573,2948
76,2962532,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Individuals,11406,,11171682,99215
77,3879552,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Total reporting,15128,,14847328,120950
78,295880,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Item not reported,2384,,1506560,13446
79,2689941006,Total for all sectors,Total,Non-Hispanic,Total,All firms,5118211,,13830500008,60007007
80,49396477,Total for all sectors,Total,Non-Hispanic,Total,Federal government,58661,,187500564,859772
81,115283503,Total for all sectors,Total,Non-Hispanic,Total,State and local government,172958,,622051177,2244786
82,481582819,Total for all sectors,Total,Non-Hispanic,Total,Other businesses,914456,,2557698355,8774835
83,50562475,Total for all sectors,Total,Non-Hispanic,Total,Other organizations,106961,,207667029,1005618
84,457933172,Total for all sectors,Total,Non-Hispanic,Total,Individuals,1547176,,2191679549,12505596
85,840724120,Total for all sectors,Total,Non-Hispanic,Total,Total reporting,2190754,,4157663317,19185105
86,99230393,Total for all sectors,Total,Non-Hispanic,Total,Item not reported,437473,,453705028,2812031
87,338223826,Total for all sectors,Female,Total,White,All firms,945514,,1575575539,8631458
88,0,Total for all sectors,Female,Total,White,Federal government,0,S,0,0
89,0,Total for all sectors,Female,Total,White,State and local government,0,S,0,0
90,0,Total for all sectors,Female,Total,White,Other businesses,0,S,0,0
91,0,Total for all sectors,Female,Total,White,Other organizations,0,S,0,0
92,0,Total for all sectors,Female,Total,White,Individuals,0,S,0,0
93,0,Total for all sectors,Female,Total,White,Total reporting,0,S,0,0
94,0,Total for all sectors,Female,Total,White,Item not reported,0,S,0,0
95,1994720992,Total for all sectors,Male,Total,White,All firms,3087049,,10530941803,41363286
96,0,Total for all sectors,Male,Total,White,Federal government,0,S,0,0
97,0,Total for all sectors,Male,Total,White,State and local government,0,S,0,0
98,0,Total for all sectors,Male,Total,White,Other businesses,0,S,0,0
99,0,Total for all sectors,Male,Total,White,Other organizations,0,S,0,0
100,0,Total for all sectors,Male,Total,White,Individuals,0,S,0,0
101,0,Total for all sectors,Male,Total,White,Total reporting,0,S,0,0
102,0,Total for all sectors,Male,Total,White,Item not reported,0,S,0,0
103,247159302,Total for all sectors,Equally male/female,Total,White,All firms,737321,,1196645206,6882688
104,0,Total for all sectors,Equally male/female,Total,White,Federal government,0,S,0,0
105,0,Total for all sectors,Equally male/female,Total,White,State and local government,0,S,0,0
106,0,Total for all sectors,Equally male/female,Total,White,Other businesses,0,S,0,0
107,0,Total for all sectors,Equally male/female,Total,White,Other organizations,0,S,0,0
108,0,Total for all sectors,Equally male/female,Total,White,Individuals,0,S,0,0
109,0,Total for all sectors,Equally male/female,Total,White,Total reporting,0,S,0,0
110,0,Total for all sectors,Equally male/female,Total,White,Item not reported,0,S,0,0
111,36939229,Total for all sectors,Total,Total,Black or African American,All firms,124551,,128012399,1188819
112,1589700,Total for all sectors,Total,Total,Black or African American,Federal government,3162,,4494036,55094
113,2048041,Total for all sectors,Total,Total,Black or African American,State and local government,6184,,5792056,67138
114,3068289,Total for all sectors,Total,Total,Black or African American,Other businesses,13752,,11410228,77682
115,529829,Total for all sectors,Total,Total,Black or African American,Other organizations,2894,,1755392,14975
116,4712303,Total for all sectors,Total,Total,Black or African American,Individuals,27676,,18163959,173678
117,8887644,Total for all sectors,Total,Total,Black or African American,Total reporting,41261,,30845231,289833
118,1799747,Total for all sectors,Total,Total,Black or African American,Item not reported,13083,,5683472,78238
119,2670156,Total for all sectors,Female,Total,American Indian and Alaska Native,All firms,8985,,10177609,71754
120,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Federal government,0,S,0,0
121,0,Total for all sectors,Female,Total,American Indian and Alaska Native,State and local government,0,S,0,0
122,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Other businesses,0,S,0,0
123,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Other organizations,0,S,0,0
124,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Individuals,0,S,0,0
125,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Total reporting,0,S,0,0
126,0,Total for all sectors,Female,Total,American Indian and Alaska Native,Item not reported,0,S,0,0
127,5347531,Total for all sectors,Male,Total,American Indian and Alaska Native,All firms,14559,,22348339,121618
128,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Federal government,0,S,0,0
129,0,Total for all sectors,Male,Total,American Indian and Alaska Native,State and local government,0,S,0,0
130,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Other businesses,0,S,0,0
131,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Other organizations,0,S,0,0
132,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Individuals,0,S,0,0
133,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Total reporting,0,S,0,0
134,0,Total for all sectors,Male,Total,American Indian and Alaska Native,Item not reported,0,S,0,0
135,223576,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,All firms,891,,1171556,6884
136,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Federal government,0,D,0,0
137,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,State and local government,0,D,0,0
138,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Other businesses,0,S,0,0
139,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Other organizations,0,D,0,0
140,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Individuals,0,S,0,0
141,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Total reporting,0,S,0,0
142,0,Total for all sectors,Equally male/female,Total,American Indian and Alaska Native,Item not reported,0,S,0,0
143,175800264,Total for all sectors,Total,Total,Asian,All firms,577835,,863324218,5090065
144,5093716,Total for all sectors,Total,Total,Asian,Federal government,7765,,16031503,80570
145,6247760,Total for all sectors,Total,Total,Asian,State and local government,10625,,21606842,122001
146,27333779,Total for all sectors,Total,Total,Asian,Other businesses,64435,,146413050,494267
147,2241101,Total for all sectors,Total,Total,Asian,Other organizations,5949,,8401838,46692
148,32029291,Total for all sectors,Total,Total,Asian,Individuals,161645,,158815352,1244431
149,57577386,Total for all sectors,Total,Total,Asian,Total reporting,214234,,281799657,1666765
150,7761945,Total for all sectors,Total,Total,Asian,Item not reported,47780,,41005747,268680
151,365662325,Total for all sectors,Female,Non-Hispanic,Total,All firms,1054693,,1684078381,9407871
152,8857475,Total for all sectors,Female,Non-Hispanic,Total,Federal government,13206,,29838041,155311
153,18753951,Total for all sectors,Female,Non-Hispanic,Total,State and local government,36898,,77436187,427345
154,59840262,Total for all sectors,Female,Non-Hispanic,Total,Other businesses,155307,,296977473,1213201
155,7639969,Total for all sectors,Female,Non-Hispanic,Total,Other organizations,26174,,26658900,174485
156,61803031,Total for all sectors,Female,Non-Hispanic,Total,Individuals,327417,,243035386,2046581
157,117332189,Total for all sectors,Female,Non-Hispanic,Total,Total reporting,449353,,504631784,3095778
158,16212747,Total for all sectors,Female,Non-Hispanic,Total,Item not reported,101092,,69966575,562114
159,2062608415,Total for all sectors,Male,Non-Hispanic,Total,All firms,3277302,,10883900452,43241670
160,36910921,Total for all sectors,Male,Non-Hispanic,Total,Federal government,38654,,144794226,616251
161,87179575,Total for all sectors,Male,Non-Hispanic,Total,State and local government,113158,,486039081,1579537
162,379735693,Total for all sectors,Male,Non-Hispanic,Total,Other businesses,636142,,2051061607,6628835
163,38883705,Total for all sectors,Male,Non-Hispanic,Total,Other organizations,67608,,160902342,733374
164,338709884,Total for all sectors,Male,Non-Hispanic,Total,Individuals,974912,,1684104488,8516462
165,636019642,Total for all sectors,Male,Non-Hispanic,Total,Total reporting,1413179,,3242166488,13530758
166,70875189,Total for all sectors,Male,Non-Hispanic,Total,Item not reported,269211,,327312096,1809123
167,261670266,Total for all sectors,Equally male/female,Non-Hispanic,Total,All firms,786216,,1262521175,7357466
168,3628081,Total for all sectors,Equally male/female,Non-Hispanic,Total,Federal government,6802,,12868297,88209
169,9349977,Total for all sectors,Equally male/female,Non-Hispanic,Total,State and local government,22901,,58575910,237904
170,42006864,Total for all sectors,Equally male/female,Non-Hispanic,Total,Other businesses,123007,,209659275,932799
171,4038801,Total for all sectors,Equally male/female,Non-Hispanic,Total,Other organizations,13181,,20105788,97759
172,57420257,Total for all sectors,Equally male/female,Non-Hispanic,Total,Individuals,244848,,264539674,1942553
173,87372288,Total for all sectors,Equally male/female,Non-Hispanic,Total,Total reporting,328222,,410865045,2558569
174,12142457,Total for all sectors,Equally male/female,Non-Hispanic,Total,Item not reported,67169,,56426356,440795
175,2580104120,Total for all sectors,Total,Total,White,All firms,4769883,,13303162548,56877432
176,44715516,Total for all sectors,Total,Total,White,Federal government,52353,,174955283,766935
177,111650496,Total for all sectors,Total,Total,White,State and local government,165492,,610327317,2158104
178,470516214,Total for all sectors,Total,Total,White,Other businesses,889694,,2484554971,8658890
179,48924896,Total for all sectors,Total,Total,White,Other organizations,103173,,202319739,977320
180,442493553,Total for all sectors,Total,Total,White,Individuals,1457234,,2110087771,11795107
181,812089804,Total for all sectors,Total,Total,White,Total reporting,2070664,,4008768415,18305600
182,94592274,Total for all sectors,Total,Total,White,Item not reported,408217,,429913548,2651741
183,11024868,Total for all sectors,Female,Total,Black or African American,All firms,43163,,30440533,399601
184,0,Total for all sectors,Female,Total,Black or African American,Federal government,0,S,0,0
185,0,Total for all sectors,Female,Total,Black or African American,State and local government,0,S,0,0
186,0,Total for all sectors,Female,Total,Black or African American,Other businesses,0,S,0,0
187,0,Total for all sectors,Female,Total,Black or African American,Other organizations,0,S,0,0
188,0,Total for all sectors,Female,Total,Black or African American,Individuals,0,S,0,0
189,0,Total for all sectors,Female,Total,Black or African American,Total reporting,0,S,0,0
190,0,Total for all sectors,Female,Total,Black or African American,Item not reported,0,S,0,0
191,22743548,Total for all sectors,Male,Total,Black or African American,All firms,69624,,88198498,650812
192,0,Total for all sectors,Male,Total,Black or African American,Federal government,0,S,0,0
193,0,Total for all sectors,Male,Total,Black or African American,State and local government,0,S,0,0
194,0,Total for all sectors,Male,Total,Black or African American,Other businesses,0,S,0,0
195,0,Total for all sectors,Male,Total,Black or African American,Other organizations,0,S,0,0
196,0,Total for all sectors,Male,Total,Black or African American,Individuals,0,S,0,0
197,0,Total for all sectors,Male,Total,Black or African American,Total reporting,0,S,0,0
198,0,Total for all sectors,Male,Total,Black or African American,Item not reported,0,S,0,0
199,3170813,Total for all sectors,Equally male/female,Total,Black or African American,All firms,11765,,9373368,138405
200,0,Total for all sectors,Equally male/female,Total,Black or African American,Federal government,0,S,0,0
201,0,Total for all sectors,Equally male/female,Total,Black or African American,State and local government,0,S,0,0
202,0,Total for all sectors,Equally male/female,Total,Black or African American,Other businesses,0,S,0,0
203,0,Total for all sectors,Equally male/female,Total,Black or African American,Other organizations,0,S,0,0
204,0,Total for all sectors,Equally male/female,Total,Black or African American,Individuals,0,S,0,0
205,0,Total for all sectors,Equally male/female,Total,Black or African American,Total reporting,0,S,0,0
206,0,Total for all sectors,Equally male/female,Total,Black or African American,Item not reported,0,S,0,0
207,8241262,Total for all sectors,Total,Total,American Indian and Alaska Native,All firms,24433,,33697503,200256
208,162882,Total for all sectors,Total,Total,American Indian and Alaska Native,Federal government,340,,516990,4597
209,357257,Total for all sectors,Total,Total,American Indian and Alaska Native,State and local government,998,,1362335,8823
210,1093519,Total for all sectors,Total,Total,American Indian and Alaska Native,Other businesses,3939,,4495890,24946
211,112940,Total for all sectors,Total,Total,American Indian and Alaska Native,Other organizations,489,,436219,2393
212,1010207,Total for all sectors,Total,Total,American Indian and Alaska Native,Individuals,6917,,4764084,32155
213,1902748,Total for all sectors,Total,Total,American Indian and Alaska Native,Total reporting,9738,,8096635,52382
214,217955,Total for all sectors,Total,Total,American Indian and Alaska Native,Item not reported,1724,,736719,7741
215,447223,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,All firms,2220,,1653244,18732
216,0,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Federal government,0,D,0,0
217,0,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,State and local government,0,D,0,0
218,0,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Other businesses,0,S,0,0
219,0,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Other organizations,0,D,0,0
220,163629,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Individuals,597,,457232,9055
221,176288,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Total reporting,675,,542473,9335
222,64732,Total for all sectors,Female,Equally Hispanic/non-Hispanic,Total,Item not reported,316,,193170,2155
223,7349841,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,All firms,10229,,30361970,146945
224,0,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Federal government,0,S,0,0
225,154367,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,State and local government,298,,636369,3092
226,0,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Other businesses,0,S,0,0
227,0,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Other organizations,0,S,0,0
228,1755039,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Individuals,3456,,7621214,36359
229,3474518,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Total reporting,4606,,15274953,62400
230,53390,Total for all sectors,Male,Equally Hispanic/non-Hispanic,Total,Item not reported,401,,210868,1298
231,9598552,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,All firms,36837,,39319409,320958
232,34872,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,Federal government,321,,148719,1195
233,224101,Total for all sectors,Equally male/female,Equally Hispanic/non-Hispanic,Total,State and local government,760,,820642,8857
234,38950283,Total for all sectors,Female,Total,Asian,All firms,154984,,171448705,1128494
235,0,Total for all sectors,Female,Total,Asian,Federal government,0,S,0,0
236,0,Total for all sectors,Female,Total,Asian,State and local government,0,S,0,0
237,0,Total for all sectors,Female,Total,Asian,Other businesses,0,S,0,0
238,0,Total for all sectors,Female,Total,Asian,Other organizations,0,S,0,0
239,0,Total for all sectors,Female,Total,Asian,Individuals,0,S,0,0
240,0,Total for all sectors,Female,Total,Asian,Total reporting,0,S,0,0
241,0,Total for all sectors,Female,Total,Asian,Item not reported,0,S,0,0
242,115157899,Total for all sectors,Male,Total,Asian,All firms,336622,,586918276,3207600
243,0,Total for all sectors,Male,Total,Asian,Federal government,0,S,0,0
244,0,Total for all sectors,Male,Total,Asian,State and local government,0,S,0,0
245,0,Total for all sectors,Male,Total,Asian,Other businesses,0,S,0,0
246,0,Total for all sectors,Male,Total,Asian,Other organizations,0,S,0,0
247,0,Total for all sectors,Male,Total,Asian,Individuals,0,S,0,0
248,0,Total for all sectors,Male,Total,Asian,Total reporting,0,S,0,0
249,0,Total for all sectors,Male,Total,Asian,Item not reported,0,S,0,0
250,0,Total for all sectors,Total,Total,Equally minority/nonminority,Federal government,0,S,0,0
251,0,Total for all sectors,Total,Total,Equally minority/nonminority,State and local government,0,D,0,0
252,0,Total for all sectors,Total,Total,Equally minority/nonminority,Other businesses,0,S,0,0
253,0,Total for all sectors,Total,Total,Equally minority/nonminority,Other organizations,0,D,0,0
254,50106,Total for all sectors,Total,Total,Equally minority/nonminority,Individuals,179,,148597,896
255,83047,Total for all sectors,Total,Total,Equally minority/nonminority,Total reporting,271,,216992,1179
256,0,Total for all sectors,Total,Total,Equally minority/nonminority,Item not reported,0,S,0,0
257,162992675,Total for all sectors,Total,Total,Nonminority,All firms,302938,,896161853,3493620
258,5338853,Total for all sectors,Total,Total,Nonminority,Federal government,5954,,25966543,80518
259,9378626,Total for all sectors,Total,Total,Nonminority,State and local government,12257,,51420467,171440
260,31653477,Total for all sectors,Total,Total,Nonminority,Other businesses,61366,,168028924,611558
261,2388782,Total for all sectors,Total,Total,Nonminority,Other organizations,6378,,10066833,52099
262,23541321,Total for all sectors,Total,Total,Nonminority,Individuals,90120,,112811399,670762
263,52003173,Total for all sectors,Total,Total,Nonminority,Total reporting,134635,,263936333,1156979
264,5462057,Total for all sectors,Total,Total,Nonminority,Item not reported,28736,,23696614,151185
265,54886684,Total for all sectors,Total,Total,Total,All firms,145782,,250285493,1410080
266,1061605,Total for all sectors,Total,Total,Total,Federal government,1696,,4605308,23142
267,2192171,Total for all sectors,Total,Total,Total,State and local government,5447,,12870239,51682
268,8777887,Total for all sectors,Total,Total,Total,Other businesses,24676,,43628172,179921
269,678869,Total for all sectors,Total,Total,Total,Other organizations,2143,,2924447,14216
270,10291473,Total for all sectors,Total,Total,Total,Individuals,43115,,47639616,303607
271,17019469,Total for all sectors,Total,Total,Total,Total reporting,60537,,78531102,439189
272,2600194,Total for all sectors,Total,Total,Total,Item not reported,13074,,10985497,76530
273,10288546,Total for all sectors,Female,Total,Minority,Other businesses,30161,,44982376,220935
274,958573,Total for all sectors,Female,Total,Minority,Other organizations,4338,,3219682,27876
275,12904882,Total for all sectors,Female,Total,Minority,Individuals,80291,,55350398,465285
276,23022722,Total for all sectors,Female,Total,Minority,Total reporting,105641,,95603861,672945
277,4022239,Total for all sectors,Female,Total,Minority,Item not reported,27745,,15581307,170786
278,214642132,Total for all sectors,Male,Total,Minority,All firms,623583,,1024715081,5927278
279,6653045,Total for all sectors,Male,Total,Minority,Federal government,9235,,22695726,130731
280,9961604,Total for all sectors,Male,Total,Minority,State and local government,15462,,34656492,193820
281,35042839,Total for all sectors,Male,Total,Minority,Other businesses,84324,,179867179,698020
282,3139897,Total for all sectors,Male,Total,Minority,Other organizations,7914,,10942153,66104
283,37111596,Total for all sectors,Male,Total,Minority,Individuals,167017,,180245648,1328593
284,70098151,Total for all sectors,Male,Total,Minority,Total reporting,231760,,332298236,1950917
285,9163213,Total for all sectors,Male,Total,Minority,Item not reported,52337,,46830082,299427
286,34654131,Total for all sectors,Equally male/female,Total,Minority,All firms,139287,,157590695,1214451
287,578968,Total for all sectors,Equally male/female,Total,Minority,Federal government,1487,,1671845,13459
288,1070640,Total for all sectors,Equally male/female,Total,Minority,State and local government,3153,,3540200,34291
289,3863224,Total for all sectors,Equally male/female,Total,Minority,Other businesses,14886,,20142014,89168
290,216342,Total for all sectors,Equally male/female,Total,Minority,Other organizations,1221,,960407,5763
291,7645939,Total for all sectors,Equally male/female,Total,Minority,Individuals,38119,,33478675,294624
292,10904146,Total for all sectors,Equally male/female,Total,Minority,Total reporting,49775,,48942206,371757
293,1857063,Total for all sectors,Equally male/female,Total,Minority,Item not reported,12169,,8174236,70166
294,33940273,Total for all sectors,Total,Total,Equally minority/nonminority,All firms,86633,,134100469,843404
295,710007,Total for all sectors,Total,Total,Equally minority/nonminority,Federal government,927,,1929424,10522
296,1176662,Total for all sectors,Total,Total,Equally minority/nonminority,State and local government,2191,,5005300,25082
297,6242848,Total for all sectors,Total,Total,Equally minority/nonminority,Other businesses,13828,,26849988,110406
298,686806,Total for all sectors,Total,Total,Equally minority/nonminority,Other organizations,1578,,2102189,10915
299,8354275,Total for all sectors,Total,Total,Equally minority/nonminority,Individuals,25831,,30841857,229587
300,13061069,Total for all sectors,Total,Total,Equally minority/nonminority,Total reporting,35270,,51537137,306884
301,1160624,Total for all sectors,Total,Total,Equally minority/nonminority,Item not reported,5798,,4387523,37213
302,313337924,Total for all sectors,Female,Total,Nonminority,All firms,851594,,1473794551,7827183
303,7113629,Total for all sectors,Female,Total,Nonminority,Federal government,9720,,24015150,117823
304,16656539,Total for all sectors,Female,Total,Nonminority,State and local government,31373,,70353038,371951
305,52675007,Total for all sectors,Female,Total,Nonminority,Other businesses,134931,,266035895,1070499
306,6948085,Total for all sectors,Female,Total,Nonminority,Other organizations,23283,,24549798,155501
307,53023117,Total for all sectors,Female,Total,Nonminority,Individuals,270905,,206712311,1731442
308,101057783,Total for all sectors,Female,Total,Nonminority,Total reporting,374301,,438454592,2633495
309,13600312,Total for all sectors,Female,Total,Nonminority,Item not reported,82449,,60007016,447763
310,1910402434,Total for all sectors,Male,Total,Nonminority,All firms,2852663,,10155308598,39131972
311,31560057,Total for all sectors,Male,Total,Nonminority,Federal government,32132,,128730155,514927
312,80412391,Total for all sectors,Male,Total,Nonminority,State and local government,103128,,463935059,1446603
313,355821878,Total for all sectors,Male,Total,Nonminority,Other businesses,582744,,1923385000,6202700
314,36232839,Total for all sectors,Male,Total,Nonminority,Other organizations,61932,,151876655,684327
315,313266304,Total for all sectors,Male,Total,Nonminority,Individuals,862707,,1557078580,7571200
316,587490149,Total for all sectors,Male,Total,Nonminority,Total reporting,1257519,,3008053526,12194045
317,64442647,Total for all sectors,Male,Total,Nonminority,Item not reported,233805,,293628521,1609536
318,227731745,Total for all sectors,Equally male/female,Total,Nonminority,All firms,659911,,1112656778,6231144
319,3070622,Total for all sectors,Equally male/female,Total,Nonminority,Federal government,5165,,11087648,75297
320,8342180,Total for all sectors,Equally male/female,Total,Nonminority,State and local government,19942,,54280133,209024
321,38348256,Total for all sectors,Equally male/female,Total,Nonminority,Other businesses,109751,,191054929,856118
